"Codice";"Titolo";"Classificazione"
"A";"AGRICOLTURA, SILVICOLTURE PESCA";"Sezione"
"01";"Produzioni vegetali e animali, caccia e servizi connessi";"Divisione"
"01.1";"Coltivazione di colture agricole non permanenti";"Gruppo"
"01.11";"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso";"Classe"
"01.11.0";"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso";"Categoria"
"01.11.00";"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso";"Sottocategoria"
"01.12";"Coltivazione di riso";"Classe"
"01.12.0";"Coltivazione di riso";"Categoria"
"01.12.00";"Coltivazione di riso";"Sottocategoria"
"01.13";"Coltivazione di ortaggi e meloni, radici e tuberi";"Classe"
"01.13.1";"Coltivazione di ortaggi e meloni";"Categoria"
"01.13.11";"Coltivazione di ortaggi e meloni in piena aria";"Sottocategoria"
"01.13.12";"Coltivazione di ortaggi e meloni in colture protette fuori suolo";"Sottocategoria"
"01.13.13";"Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo";"Sottocategoria"
"01.13.2";"Coltivazione di radici, incluse barbabietole da zucchero";"Categoria"
"01.13.20";"Coltivazione di radici, incluse barbabietole da zucchero";"Sottocategoria"
"01.13.3";"Coltivazione di tuberi, incluse patate";"Categoria"
"01.13.30";"Coltivazione di tuberi, incluse patate";"Sottocategoria"
"01.14";"Coltivazione di canna da zucchero";"Classe"
"01.14.0";"Coltivazione di canna da zucchero";"Categoria"
"01.14.00";"Coltivazione di canna da zucchero";"Sottocategoria"
"01.15";"Coltivazione di tabacco";"Classe"
"01.15.0";"Coltivazione di tabacco";"Categoria"
"01.15.00";"Coltivazione di tabacco";"Sottocategoria"
"01.16";"Coltivazione di piante tessili";"Classe"
"01.16.0";"Coltivazione di piante tessili";"Categoria"
"01.16.00";"Coltivazione di piante tessili";"Sottocategoria"
"01.19";"Coltivazione di altre colture agricole non permanenti";"Classe"
"01.19.1";"Coltivazione di fiori";"Categoria"
"01.19.11";"Coltivazione di fiori in piena aria";"Sottocategoria"
"01.19.12";"Coltivazione di fiori in colture protette fuori suolo";"Sottocategoria"
"01.19.13";"Coltivazione di fiori in altre colture protette, escluse colture fuori suolo";"Sottocategoria"
"01.19.9";"Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.";"Categoria"
"01.19.90";"Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.";"Sottocategoria"
"01.2";"Coltivazione di colture agricole permanenti";"Gruppo"
"01.21";"Coltivazione di uva";"Classe"
"01.21.0";"Coltivazione di uva";"Categoria"
"01.21.00";"Coltivazione di uva";"Sottocategoria"
"01.22";"Coltivazione di frutta di origine tropicale e subtropicale";"Classe"
"01.22.0";"Coltivazione di frutta di origine tropicale e subtropicale";"Categoria"
"01.22.00";"Coltivazione di frutta di origine tropicale e subtropicale";"Sottocategoria"
"01.23";"Coltivazione di agrumi";"Classe"
"01.23.0";"Coltivazione di agrumi";"Categoria"
"01.23.00";"Coltivazione di agrumi";"Sottocategoria"
"01.24";"Coltivazione di pomacee e frutta a nocciolo";"Classe"
"01.24.0";"Coltivazione di pomacee e frutta a nocciolo";"Categoria"
"01.24.00";"Coltivazione di pomacee e frutta a nocciolo";"Sottocategoria"
"01.25";"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio";"Classe"
"01.25.0";"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio";"Categoria"
"01.25.00";"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio";"Sottocategoria"
"01.26";"Coltivazione di frutti oleosi";"Classe"
"01.26.0";"Coltivazione di frutti oleosi";"Categoria"
"01.26.00";"Coltivazione di frutti oleosi";"Sottocategoria"
"01.27";"Coltivazione di piante per la produzione di bevande";"Classe"
"01.27.0";"Coltivazione di piante per la produzione di bevande";"Categoria"
"01.27.00";"Coltivazione di piante per la produzione di bevande";"Sottocategoria"
"01.28";"Coltivazione di spezie, piante aromatiche e farmaceutiche";"Classe"
"01.28.0";"Coltivazione di spezie, piante aromatiche e farmaceutiche";"Categoria"
"01.28.00";"Coltivazione di spezie, piante aromatiche e farmaceutiche";"Sottocategoria"
"01.29";"Coltivazione di altre colture agricole permanenti";"Classe"
"01.29.0";"Coltivazione di altre colture agricole permanenti";"Categoria"
"01.29.00";"Coltivazione di altre colture agricole permanenti";"Sottocategoria"
"01.3";"Riproduzione delle piante";"Gruppo"
"01.30";"Riproduzione delle piante";"Classe"
"01.30.0";"Riproduzione delle piante";"Categoria"
"01.30.00";"Riproduzione delle piante";"Sottocategoria"
"01.4";"Allevamento di animali";"Gruppo"
"01.41";"Allevamento di bovini da latte";"Classe"
"01.41.0";"Allevamento di bovini da latte";"Categoria"
"01.41.00";"Allevamento di bovini da latte";"Sottocategoria"
"01.42";"Allevamento di altri bovini e bufalini";"Classe"
"01.42.0";"Allevamento di altri bovini e bufalini";"Categoria"
"01.42.00";"Allevamento di altri bovini e bufalini";"Sottocategoria"
"01.43";"Allevamento di cavalli e altri equini";"Classe"
"01.43.0";"Allevamento di cavalli e altri equini";"Categoria"
"01.43.00";"Allevamento di cavalli e altri equini";"Sottocategoria"
"01.44";"Allevamento di cammelli e camelidi";"Classe"
"01.44.0";"Allevamento di cammelli e camelidi";"Categoria"
"01.44.00";"Allevamento di cammelli e camelidi";"Sottocategoria"
"01.45";"Allevamento di ovini e caprini";"Classe"
"01.45.0";"Allevamento di ovini e caprini";"Categoria"
"01.45.00";"Allevamento di ovini e caprini";"Sottocategoria"
"01.46";"Allevamento di suini";"Classe"
"01.46.0";"Allevamento di suini";"Categoria"
"01.46.00";"Allevamento di suini";"Sottocategoria"
"01.47";"Allevamento di pollame";"Classe"
"01.47.0";"Allevamento di pollame";"Categoria"
"01.47.00";"Allevamento di pollame";"Sottocategoria"
"01.48";"Allevamento di altri animali";"Classe"
"01.48.1";"Allevamento di conigli";"Categoria"
"01.48.10";"Allevamento di conigli";"Sottocategoria"
"01.48.2";"Allevamento di altri animali da pelliccia";"Categoria"
"01.48.20";"Allevamento di altri animali da pelliccia";"Sottocategoria"
"01.48.3";"Apicoltura";"Categoria"
"01.48.30";"Apicoltura";"Sottocategoria"
"01.48.4";"Bachicoltura";"Categoria"
"01.48.40";"Bachicoltura";"Sottocategoria"
"01.48.9";"Allevamento di altri animali n.c.a.";"Categoria"
"01.48.91";"Allevamento di insetti";"Sottocategoria"
"01.48.99";"Allevamento di altri animali vari n.c.a.";"Sottocategoria"
"01.5";"Coltivazioni agricole associate all'allevamento di animali: attività mista";"Gruppo"
"01.50";"Coltivazioni agricole associate all'allevamento di animali: attività mista";"Classe"
"01.50.0";"Coltivazioni agricole associate all'allevamento di animali: attività mista";"Categoria"
"01.50.00";"Coltivazioni agricole associate all'allevamento di animali: attività mista";"Sottocategoria"
"01.6";"Attività di supporto all'agricoltura e attività successive alla raccolta";"Gruppo"
"01.61";"Attività di supporto alla produzione vegetale";"Classe"
"01.61.1";"Manutenzione del terreno per mantenerlo in buone condizioni";"Categoria"
"01.61.10";"Manutenzione del terreno per mantenerlo in buone condizioni";"Sottocategoria"
"01.61.9";"Attività di supporto alla produzione vegetale n.c.a.";"Categoria"
"01.61.91";"Trattamenti fitosanitari";"Sottocategoria"
"01.61.99";"Altre attività di supporto alla produzione vegetale n.c.a.";"Sottocategoria"
"01.62";"Attività di supporto alla produzione animale";"Classe"
"01.62.0";"Attività di supporto alla produzione animale";"Categoria"
"01.62.01";"Attività di maniscalchi";"Sottocategoria"
"01.62.09";"Altre attività di supporto alla produzione animale";"Sottocategoria"
"01.63";"Attività successive alla raccolta e lavorazione delle sementi per la semina";"Classe"
"01.63.1";"Attività successive alla raccolta";"Categoria"
"01.63.10";"Attività successive alla raccolta";"Sottocategoria"
"01.63.2";"Lavorazione delle sementi per la semina";"Categoria"
"01.63.20";"Lavorazione delle sementi per la semina";"Sottocategoria"
"01.7";"Caccia, cattura di animali e servizi connessi";"Gruppo"
"01.70";"Caccia, cattura di animali e servizi connessi";"Classe"
"01.70.0";"Caccia, cattura di animali e servizi connessi";"Categoria"
"01.70.00";"Caccia, cattura di animali e servizi connessi";"Sottocategoria"
"02";"Silvicoltura e utilizzo di aree forestali";"Divisione"
"02.1";"Silvicoltura e altre attività forestali";"Gruppo"
"02.10";"Silvicoltura e altre attività forestali";"Classe"
"02.10.0";"Silvicoltura e altre attività forestali";"Categoria"
"02.10.00";"Silvicoltura e altre attività forestali";"Sottocategoria"
"02.2";"Utilizzo di aree forestali";"Gruppo"
"02.20";"Utilizzo di aree forestali";"Classe"
"02.20.0";"Utilizzo di aree forestali";"Categoria"
"02.20.00";"Utilizzo di aree forestali";"Sottocategoria"
"02.3";"Raccolta di prodotti selvatici non legnosi";"Gruppo"
"02.30";"Raccolta di prodotti selvatici non legnosi";"Classe"
"02.30.0";"Raccolta di prodotti selvatici non legnosi";"Categoria"
"02.30.00";"Raccolta di prodotti selvatici non legnosi";"Sottocategoria"
"02.4";"Servizi di supporto per la silvicoltura";"Gruppo"
"02.40";"Servizi di supporto per la silvicoltura";"Classe"
"02.40.0";"Servizi di supporto per la silvicoltura";"Categoria"
"02.40.00";"Servizi di supporto per la silvicoltura";"Sottocategoria"
"03";"Pesca e acquacoltura";"Divisione"
"03.1";"Pesca";"Gruppo"
"03.11";"Pesca marina";"Classe"
"03.11.0";"Pesca marina";"Categoria"
"03.11.00";"Pesca marina";"Sottocategoria"
"03.12";"Pesca in acque dolci";"Classe"
"03.12.0";"Pesca in acque dolci";"Categoria"
"03.12.00";"Pesca in acque dolci";"Sottocategoria"
"03.2";"Acquacoltura";"Gruppo"
"03.21";"Acquacoltura marina";"Classe"
"03.21.0";"Acquacoltura marina";"Categoria"
"03.21.01";"Coltivazione di alghe marine";"Sottocategoria"
"03.21.09";"Altre attività di acquacoltura marina";"Sottocategoria"
"03.22";"Acquacoltura in acque dolci";"Classe"
"03.22.0";"Acquacoltura in acque dolci";"Categoria"
"03.22.01";"Coltivazione di alghe in acque dolci";"Sottocategoria"
"03.22.09";"Altre attività di acquacoltura in acque dolci";"Sottocategoria"
"03.3";"Attività di supporto alla pesca e all'acquacoltura";"Gruppo"
"03.30";"Attività di supporto alla pesca e all'acquacoltura";"Classe"
"03.30.0";"Attività di supporto alla pesca e all'acquacoltura";"Categoria"
"03.30.00";"Attività di supporto alla pesca e all'acquacoltura";"Sottocategoria"
"B";"ATTIVITÀ ESTRATTIVE";"Sezione"
"05";"Estrazione di carbone e lignite";"Divisione"
"05.1";"Estrazione di antracite";"Gruppo"
"05.10";"Estrazione di antracite";"Classe"
"05.10.0";"Estrazione di antracite";"Categoria"
"05.10.00";"Estrazione di antracite";"Sottocategoria"
"05.2";"Estrazione di lignite";"Gruppo"
"05.20";"Estrazione di lignite";"Classe"
"05.20.0";"Estrazione di lignite";"Categoria"
"05.20.00";"Estrazione di lignite";"Sottocategoria"
"06";"Estrazione di petrolio greggio e gas naturale";"Divisione"
"06.1";"Estrazione di petrolio greggio";"Gruppo"
"06.10";"Estrazione di petrolio greggio";"Classe"
"06.10.0";"Estrazione di petrolio greggio";"Categoria"
"06.10.00";"Estrazione di petrolio greggio";"Sottocategoria"
"06.2";"Estrazione di gas naturale";"Gruppo"
"06.20";"Estrazione di gas naturale";"Classe"
"06.20.0";"Estrazione di gas naturale";"Categoria"
"06.20.00";"Estrazione di gas naturale";"Sottocategoria"
"07";"Estrazione di minerali metalliferi";"Divisione"
"07.1";"Estrazione di minerali metalliferi ferrosi";"Gruppo"
"07.10";"Estrazione di minerali metalliferi ferrosi";"Classe"
"07.10.0";"Estrazione di minerali metalliferi ferrosi";"Categoria"
"07.10.00";"Estrazione di minerali metalliferi ferrosi";"Sottocategoria"
"07.2";"Estrazione di minerali metalliferi non ferrosi";"Gruppo"
"07.21";"Estrazione di minerali di uranio e torio";"Classe"
"07.21.0";"Estrazione di minerali di uranio e torio";"Categoria"
"07.21.00";"Estrazione di minerali di uranio e torio";"Sottocategoria"
"07.29";"Estrazione di altri minerali metalliferi non ferrosi";"Classe"
"07.29.0";"Estrazione di altri minerali metalliferi non ferrosi";"Categoria"
"07.29.00";"Estrazione di altri minerali metalliferi non ferrosi";"Sottocategoria"
"08";"Altre attività estrattive";"Divisione"
"08.1";"Estrazione di pietra, sabbia e argilla";"Gruppo"
"08.11";"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre";"Classe"
"08.11.0";"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre";"Categoria"
"08.11.00";"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre";"Sottocategoria"
"08.12";"Estrazione di ghiaia, sabbia, argilla e caolino";"Classe"
"08.12.0";"Estrazione di ghiaia, sabbia, argilla e caolino";"Categoria"
"08.12.00";"Estrazione di ghiaia, sabbia, argilla e caolino";"Sottocategoria"
"08.9";"Attività estrattive n.c.a.";"Gruppo"
"08.91";"Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti";"Classe"
"08.91.0";"Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti";"Categoria"
"08.91.00";"Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti";"Sottocategoria"
"08.92";"Estrazione di torba";"Classe"
"08.92.0";"Estrazione di torba";"Categoria"
"08.92.00";"Estrazione di torba";"Sottocategoria"
"08.93";"Estrazione di sale";"Classe"
"08.93.0";"Estrazione di sale";"Categoria"
"08.93.01";"Estrazione di sale dal sottosuolo";"Sottocategoria"
"08.93.02";"Salicoltura marina";"Sottocategoria"
"08.93.03";"Produzione di sale da salamoia";"Sottocategoria"
"08.99";"Altre attività estrattive n.c.a.";"Classe"
"08.99.0";"Altre attività estrattive n.c.a.";"Categoria"
"08.99.01";"Estrazione di asfalto e bitume naturale";"Sottocategoria"
"08.99.09";"Altre attività estrattive varie n.c.a.";"Sottocategoria"
"09";"Attività dei servizi di supporto all'estrazione";"Divisione"
"09.1";"Attività di supporto all'estrazione di petrolio e gas naturale";"Gruppo"
"09.10";"Attività di supporto all'estrazione di petrolio e gas naturale";"Classe"
"09.10.0";"Attività di supporto all'estrazione di petrolio e gas naturale";"Categoria"
"09.10.00";"Attività di supporto all'estrazione di petrolio e gas naturale";"Sottocategoria"
"09.9";"Attività di supporto ad altre attività estrattive";"Gruppo"
"09.90";"Attività di supporto ad altre attività estrattive";"Classe"
"09.90.0";"Attività di supporto ad altre attività estrattive";"Categoria"
"09.90.00";"Attività di supporto ad altre attività estrattive";"Sottocategoria"
"C";"ATTIVITÀ MANIFATTURIERE";"Sezione"
"10";"Produzione di prodotti alimentari";"Divisione"
"10.1";"Lavorazione e conservazione di carne e produzione di prodotti a base di carne";"Gruppo"
